"route","audience_intent","cta_copy","position","target","solution","funnel_stage","target_type","resolved_url","strength"
"/services/genai-strategy/","Declared page intent; confirm against editorial brief.","Ready to move Schedule a strategy session Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/services/genai-strategy/","Declared page intent; confirm against editorial brief.","Still framing the question Read the GenAI operating brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/services/genai-strategy/","Declared page intent; confirm against editorial brief.","Schedule a strategy session","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/services/marketing-consulting/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/marketing-consulting/","Declared page intent; confirm against editorial brief.","Read the marketing-operations essay ↗","text-link","/insights/marketing-operations-for-small-expert-teams/","Research or method path","early-stage","internal","https://hardmagic.com/insights/marketing-operations-for-small-expert-teams/","strong"
"/services/marketing-consulting/","Declared page intent; confirm against editorial brief.","Ready to move Discuss marketing direction Use the relevant intake or engagement route.","enterprise-cta-option","/contact/marketing-consulting/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/marketing-consulting/","strong"
"/services/marketing-consulting/","Declared page intent; confirm against editorial brief.","Still framing the question Read the marketing-operations essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/marketing-operations-for-small-expert-teams/","Research or method path","early-stage","internal","https://hardmagic.com/insights/marketing-operations-for-small-expert-teams/","strong"
"/services/marketing-consulting/","Declared page intent; confirm against editorial brief.","Discuss marketing direction","button dark-button","/contact/marketing-consulting/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/marketing-consulting/","strong"
"/services/marketing-consulting/","Declared page intent; confirm against editorial brief.","Read Horizon 2035","button ghost","horizon/","Research or method path","primary","internal","https://hardmagic.com/horizon/","strong"
"/services/media-management/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/media-management/","Declared page intent; confirm against editorial brief.","Read the media asset-estate brief ↗","text-link","/briefs/intelligent-media-asset-estate/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/services/media-management/","Declared page intent; confirm against editorial brief.","Ready to move Assess a media estate Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/services/media-management/","Declared page intent; confirm against editorial brief.","Still framing the question Read the media asset-estate brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/intelligent-media-asset-estate/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/services/media-management/","Declared page intent; confirm against editorial brief.","Assess a media estate","button dark-button","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/services/web-experience/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/web-experience/","Declared page intent; confirm against editorial brief.","Read the static-publishing essay ↗","text-link","/insights/static-websites-as-durable-media/","Research or method path","early-stage","internal","https://hardmagic.com/insights/static-websites-as-durable-media/","strong"
"/services/web-experience/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a web program Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/services/web-experience/","Declared page intent; confirm against editorial brief.","Still framing the question Read the static-publishing essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/static-websites-as-durable-media/","Research or method path","early-stage","internal","https://hardmagic.com/insights/static-websites-as-durable-media/","strong"
